user,mac,staylength
14985,28373,197
20427,3344,197
21486,51877,197
22575,48172,197
26294,17492,197
26372,33144,197
27001,29934,197
31964,50285,197
34630,4693,197
6467,35522,196
6731,31681,196
11247,8727,196
14090,6409,196
22494,54781,196
25979,10771,196
29120,5833,196
30843,35400,196
31671,10103,196
32782,53165,196
34174,32351,196
35803,41115,196
2758,52523,195
5394,33218,195
9214,19760,195
9544,13,195
9751,10791,195
10606,40619,195
22145,38815,195
22831,7142,195
30189,16773,195
30284,8118,195
31375,58027,195
32297,2115,195
33716,38305,195
34743,40535,195
34804,34727,195
1246,33604,194
1504,41474,194
3626,45811,194
6932,59262,194
9014,3465,194
11308,42201,194
11690,61508,194
11838,30683,194
12158,20668,194
14133,31178,194
17694,9035,194
26145,53605,194
28449,53648,194
30776,56417,194
31030,47578,194
32621,58872,194
32889,30322,194
37137,21453,194
1258,45737,193
4990,29348,193
5993,61238,193
7362,7720,193
14993,62894,193
19661,58819,193
19788,963,193
20467,35192,193
21432,58450,193
22253,45658,193
30776,16912,193
35053,55451,193
35935,42426,193
5814,54957,192
12432,39321,192
14662,29137,192
21528,21674,192
22565,49948,192
25967,60438,192
28312,22830,192
28563,34648,192
29356,28025,192
29664,39020,192
32568,2176,192
36765,5583,192
2285,57764,191
3891,5561,191
5886,30714,191
6317,22551,191
7531,29561,191
9130,20948,191
9931,22841,191
13310,40487,191
14539,51822,191
18940,11800,191
20148,29127,191
20751,38696,191
21884,14007,191
21975,4018,191
22257,51669,191
22774,8358,191
22850,61681,191
30515,63128,191
31782,58697,191
32094,42818,191
34110,54745,191
37318,63099,191
1857,19490,190
3360,22351,190
5819,35531,190
10592,7713,190
17468,34392,190
17601,42345,190
18398,25619,190
19087,23769,190
21144,21339,190
24068,17015,190
28260,15264,190
28991,13011,190
29765,16096,190
31436,18109,190
34800,49418,190
35633,45035,190
308,2149,189
3277,17656,189
3473,34374,189
4934,62466,189
7297,54110,189
10994,60893,189
15141,20455,189
15537,25754,189
16490,34620,189
