user,mac,staylength
7265,9135,4
7295,51273,4
7328,56962,4
7363,52530,4
7503,10110,4
7504,29977,4
7566,32696,4
7682,4179,4
7758,43242,4
7787,35850,4
7828,58916,4
7845,9835,4
7902,11863,4
8034,33432,4
8048,2696,4
8058,47825,4
8095,2681,4
8160,12637,4
8277,2609,4
8362,63268,4
8370,6348,4
8379,1980,4
8436,60394,4
8452,15273,4
8482,7003,4
8495,20347,4
8633,8926,4
8673,33469,4
8709,60093,4
8721,33642,4
8729,41491,4
8935,30151,4
8976,33876,4
9043,62439,4
9094,17047,4
9214,19760,4
9214,53055,4
9280,7941,4
9287,26065,4
9292,21064,4
9316,52606,4
9493,33253,4
9514,54213,4
9522,30965,4
9544,46837,4
9580,7349,4
9608,56964,4
9611,53068,4
9651,37608,4
9752,31724,4
9839,21677,4
9955,51415,4
10026,13107,4
10035,3113,4
10094,52088,4
10130,24988,4
10145,56299,4
10220,19829,4
10285,15234,4
10285,20094,4
10292,14785,4
10364,17276,4
10378,7429,4
10384,35968,4
10428,286,4
10486,16985,4
10573,45101,4
10578,8049,4
10592,7713,4
10594,1099,4
10597,26484,4
10695,52184,4
10792,28353,4
11020,36864,4
11041,44265,4
11123,9277,4
11127,37886,4
11227,59427,4
11259,7283,4
11336,7808,4
11404,16041,4
11433,55983,4
11558,44834,4
11647,25037,4
11651,47761,4
11652,26134,4
11666,28700,4
11877,14607,4
11907,54787,4
11958,58841,4
12121,47511,4
12147,38037,4
12279,4143,4
12369,50083,4
12473,5289,4
12514,10924,4
12573,7092,4
12573,58516,4
12598,38031,4
12665,26161,4
12669,32429,4
12731,48174,4
12764,16861,4
12765,40766,4
12865,33842,4
12982,36249,4
13114,25426,4
13124,28343,4
13250,10859,4
13284,14970,4
13355,14585,4
13422,9623,4
13469,12651,4
13510,12666,4
13547,30375,4
13692,13382,4
13722,48814,4
13742,4577,4
13828,25826,4
13828,32767,4
13947,40755,4
13967,7555,4
13968,25017,4
14017,9128,4
14026,15360,4
14093,49035,4
14131,62631,4
14133,60654,4
14137,27017,4
14161,43318,4
14222,10656,4
14261,14203,4
14314,20269,4
14392,49432,4
14488,23100,4
14495,28344,4
14603,37711,4
14684,6042,4
14685,55461,4
14706,23001,4
14758,23716,4
14881,3568,4
14895,19146,4
15083,52635,4
15118,15321,4
15123,51691,4
15124,17181,4
15141,20455,4
15168,35114,4
15409,19495,4
15413,51676,4
15453,8266,4
15491,36809,4
15546,22010,4
15600,31995,4
15601,29365,4
15848,8028,4
15938,39291,4
15992,14249,4
16159,56156,4
16197,15252,4
16308,5228,4
16370,20213,4
