user,mac,staylength
15453,8266,3
15501,52839,3
15509,51274,3
15524,41093,3
15568,16742,3
15588,29491,3
15658,54264,3
15692,8845,3
15734,50897,3
15773,45849,3
15819,27404,3
15848,8028,3
15850,17103,3
15922,31311,3
16003,12498,3
16018,60519,3
16034,38555,3
16112,50104,3
16149,21148,3
16159,56156,3
16265,1392,3
16265,39519,3
16398,38719,3
16416,45414,3
16474,15054,3
16568,29818,3
16626,55949,3
16680,37753,3
16704,14973,3
16711,45027,3
16716,26912,3
16790,42686,3
16846,42792,3
17068,52915,3
17176,13168,3
17176,22177,3
17328,16193,3
17328,58493,3
17393,8087,3
17416,2574,3
17443,48467,3
17448,5194,3
17539,9012,3
17541,30371,3
17571,39710,3
17610,40007,3
17630,52374,3
17639,26053,3
17694,9035,3
17746,29464,3
17783,14102,3
17883,49650,3
17948,35977,3
17996,40821,3
18050,6037,3
18077,31552,3
18142,19164,3
18391,44670,3
18463,28439,3
18536,31962,3
18598,26683,3
18617,49237,3
18627,23196,3
18817,59813,3
18916,35047,3
18917,3393,3
18949,53217,3
18970,30386,3
19005,43110,3
19066,4710,3
19095,35890,3
19239,3272,3
19244,51261,3
19255,49245,3
19287,47807,3
19414,57359,3
19456,8492,3
19566,20365,3
19576,20138,3
19661,49516,3
19676,710,3
19690,58201,3
19709,45041,3
19804,14495,3
19897,63281,3
19994,24785,3
20050,44535,3
20131,15621,3
20177,39355,3
20182,35688,3
20238,31614,3
20260,63041,3
20289,48901,3
20298,15315,3
20313,60544,3
20335,53564,3
20357,34153,3
20375,27242,3
20388,23808,3
20389,3324,3
20504,3915,3
20507,60205,3
20556,29887,3
20607,56188,3
20612,17050,3
20681,45917,3
20681,57653,3
20730,18899,3
20759,14005,3
20786,21096,3
20802,61325,3
20842,5021,3
20895,30851,3
20898,7827,3
20905,14766,3
20971,14955,3
20979,50976,3
21050,20739,3
21086,7816,3
21113,37385,3
21169,34435,3
21212,3891,3
21217,11098,3
21339,6604,3
21362,18857,3
21529,1055,3
21529,29683,3
21713,23635,3
21725,17318,3
21793,23495,3
21794,15403,3
21855,34749,3
21912,38507,3
21964,56755,3
22033,14680,3
22051,14805,3
22066,58527,3
22177,23257,3
22200,19931,3
22263,11988,3
22314,6613,3
22445,4725,3
22476,56672,3
22520,58344,3
22562,37146,3
22575,36676,3
22747,13637,3
22772,46603,3
22893,8935,3
22898,51012,3
22935,58268,3
22958,36731,3
22967,26591,3
23036,26517,3
23051,2058,3
23080,37541,3
23163,37867,3
23165,62041,3
23174,29650,3
23179,17314,3
23221,14151,3
23244,18845,3
23249,13473,3
23276,44723,3
23350,1952,3
23354,37854,3
23357,1074,3
23389,48606,3
23597,8550,3
23610,51470,3
23670,29302,3
23708,18537,3
23717,54413,3
23831,44530,3
23897,58970,3
23929,40406,3
24026,1498,3
24039,7499,3
24084,470,3
24104,12980,3
24104,56940,3
24224,1841,3
24256,12047,3
24484,12213,3
24507,670,3
24533,34237,3
24605,9966,3
24655,25841,3
24705,42255,3
24722,9166,3
24781,51339,3
24797,21308,3
24916,17059,3
24931,9864,3
24932,21925,3
24990,39440,3
24994,59824,3
25008,7223,3
25028,60386,3
25043,27629,3
25145,23976,3
25262,26677,3
25402,52361,3
25437,24320,3
25510,56024,3
25550,55097,3
25686,50725,3
25704,55865,3
25749,22499,3
25784,45535,3
25784,61305,3
25842,337,3
25853,52029,3
26080,27159,3
26100,21360,3
26147,16359,3
26190,35535,3
26268,49417,3
26281,25068,3
26399,10796,3
26442,31568,3
26442,50659,3
26573,37774,3
26598,60735,3
26615,8069,3
26705,2213,3
26752,26583,3
26758,46803,3
26859,46616,3
26966,24649,3
27024,21988,3
27042,12670,3
27112,50454,3
27118,54671,3
27204,39967,3
27324,476,3
27359,54407,3
27458,48113,3
27519,16091,3
27558,29008,3
27589,63105,3
27615,40826,3
27615,41132,3
27617,53573,3
27657,20060,3
27729,10355,3
27740,21809,3
27757,7844,3
27834,23886,3
28205,14654,3
28247,48426,3
28310,6731,3
28323,60494,3
28490,49267,3
28539,12382,3
28582,54871,3
28599,3842,3
28731,19204,3
28804,23090,3
28898,27537,3
28898,32426,3
28905,47826,3
28979,40310,3
29011,20642,3
29104,1224,3
29120,5833,3
29136,39922,3
29183,25165,3
29459,12629,3
29522,41573,3
29551,16807,3
29606,11394,3
29746,43709,3
29763,5688,3
29765,28342,3
29766,4959,3
29836,24634,3
29995,6379,3
30039,49969,3
30135,48383,3
30139,10375,3
30222,57952,3
30227,10386,3
30242,61112,3
30329,1522,3
30479,59070,3
30494,61586,3
30495,52817,3
30499,5784,3
30520,55079,3
30531,27687,3
30625,1913,3
30649,38581,3
30659,27859,3
